State_Name,Number_Hospitals,Staffed_Beds,State,,
AK - Alaska,10,1235,Alaska,,
AL - Alabama,89,15330,Alabama,,
AR - Arkansas,52,7873,Arkansas,,
AS - American Samoa,1,0,American Samoa,,
AZ - Arizona,73,13416,Arizona,,
CA - California,343,74624,California,,
CO - Colorado,55,8189,Colorado,,
CT - Connecticut,34,8798,Connecticut,,
DC - Washington D.C.,7,2117,Washington D.C.,,
DE - Delaware,8,2072,Delaware,,
FL - Florida,215,56074,Florida,,
GA - Georgia,112,22521,Georgia,,
GU - Guam,3,306,Guam,,
HI - Hawaii,14,2583,Hawaii,,
IA - Iowa,39,6266,Iowa,,
ID - Idaho,18,2455,Idaho,,
IL - Illinois,142,29156,Illinois,,
IN - Indiana,101,16055,Indiana,,
KS - Kansas,56,6382,Kansas,,
KY - Kentucky,74,13618,Kentucky,,
LA - Louisiana,108,15040,Louisiana,,
MA - Massachusetts,73,15192,Massachusetts,,
MD - Maryland,53,10803,Maryland,,
ME - Maine,19,2887,Maine,,
MI - Michigan,105,23722,Michigan,,
MN - Minnesota,55,10504,Minnesota,,
MO - Missouri,83,16706,Missouri,,
MP - Northern Mariana Islands,1,74,Northern Mariana Islands,,
MS - Mississippi,70,10131,Mississippi,,
MT - Montana,17,2202,Montana,,
NC - North Carolina,108,23289,North Carolina,,
ND - North Dakota,10,2003,North Dakota,,
NE - Nebraska,26,4245,Nebraska,,
NH - New Hampshire,14,2276,New Hampshire,,
NJ - New Jersey,78,20207,New Jersey,,
NM - New Mexico,37,3891,New Mexico,,
NV - Nevada,31,5726,Nevada,,
NY - New York,187,57288,New York,,
OH - Ohio,146,27064,Ohio,,
OK - Oklahoma,90,10289,Oklahoma,,
OR - Oregon,37,6111,Oregon,,
PA - Pennsylvania,176,34815,Pennsylvania,,
PR - Puerto Rico,52,8231,Puerto Rico,,
RI - Rhode Island,11,2440,Rhode Island,,
SC - South Carolina,66,11674,South Carolina,,
SD - South Dakota,24,2734,South Dakota,,
TN - Tennessee,100,18456,Tennessee,,
TX - Texas,365,58328,Texas,,
UT - Utah,35,4621,Utah,,
VA - Virginia,90,17706,Virginia,,
VI - Virgin Islands,2,184,Virgin Islands,,
VT - Vermont,7,835,Vermont,,
WA - Washington,62,10259,Washington,,
WI - Wisconsin,76,11066,Wisconsin,,
WV - West Virginia,35,5509,West Virginia,,
WY - Wyoming,14,1261,Wyoming,,
