party2016	party2016_votepercent	State	Total Cases	Total Death	Death_100k	CasesInLast7Days	CasesInLast7Days_100k	RatePer100000	totalTestResults	totalTestResults_100k	infection_rate	State of emergency	soe_to_sip	Stay at home/ shelter in place	sip_binary	sip_start_end	End/relax stay at home/shelter in place	Closed non-essential businesses	soe_biz_close	biz_close_binary	biz_close_open	Began to reopen businesses statewide	Mandate face mask use by employees in public-facing businesses	soe_face_mask	face_mask_binary	Weekly unemployment insurance maximum amount (dollars)	Population density per square miles	Population 2018	Percent living under the federal poverty line (2018)	Percent at risk for serious illness due to COVID	All-cause deaths 2018	all_death_rate18	Children 0-18	Adults 19-25	Adults 26-34	Adults 35-54	Adults 55-64	65+
Republican	0.6208	Alabama	44909	1009	20.6	9804	200.6	918.8	449886	9204.1	0.1	3/13/2020	22	4/4/2020	1	26	4/30/2020	3/28/2020	15	1	33	4/30/2020	5/11/2020	59	1	275	93.24	4887871	16.8	43.1	54352	0.01111977	0.24	0.09	0.12	0.25	0.14	0.17
Republican	0.5128	Alaska	1138	16	2.2	284	38.5	154.3	122732	16643	0.01	3/11/2020	17	3/28/2020	1	27	4/24/2020	3/28/2020	17	1	27	4/24/2020	4/24/2020	44	1	370	1.11	737438	10.9	32.8	4453	0.006038474	0.27	0.09	0.13	0.26	0.13	0.12
Republican	0.4867	Arizona	83376	1538	25.2	28038	391	1367.7	604362	8427.1	0.14	3/11/2020	20	3/31/2020	1	46	5/16/2020	3/30/2020	19	1	39	5/8/2020	5/8/2020	58	1	240	62.91	7171646	14	39.1	59282	0.008266164	0.24	0.09	0.12	0.24	0.12	0.18
Republican	0.4867	arizona	14713	271	25.2	28038	391	1367.7	604362	8427.1	0.02	3/11/2020	20	3/31/2020	1	46	5/16/2020	3/30/2020	19	1	39	5/8/2020	5/8/2020	58	1	240	62.91	7171646	14	39.1	59282	0.008266164	0.24	0.09	0.12	0.24	0.12	0.18
Republican	0.6057	Arkansas	23814	287	9.5	4504	149.4	790.2	338893	11244.6	0.07	3/11/2020	0	0	0	0	0	3/19/2020	8	0	46	5/4/2020	5/11/2020	61	1	451	56.67	3013825	17.2	43.5	32336	0.010729223	0.25	0.09	0.12	0.25	0.13	0.17
Democrat	0.6173	California	260155	6331	16	53722	135.8	657.7	4680138	11831.4	0.06	3/4/2020	15	3/19/2020	1	110	0	3/19/2020	15	1	50	5/8/2020	5/5/2020	62	1	450	241.65	39557045	12.8	33.3	268818	0.006795705	0.24	0.09	0.14	0.26	0.12	0.14
Democrat	0.4816	Colorado	34065	1701	299	2043	35.9	598.1	350717	6157.7	0.1	3/11/2020	15	3/26/2020	1	32	4/27/2020	3/26/2020	15	1	36	5/1/2020	4/23/2020	43	1	618	54.72	5695564	9.6	31.3	38526	0.006764212	0.24	0.09	0.14	0.26	0.13	0.14
Democrat	0.5457	Connecticut	46717	4335	121.3	511	14.3	1307.6	499669	13985.9	0.09	3/10/2020	10	3/20/2020	1	61	5/20/2020	3/23/2020	13	1	58	5/20/2020	4/3/2020	24	1	649	644.54	3572665	10.4	36	31230	0.008741374	0.22	0.08	0.11	0.27	0.15	0.17
Democrat	0.5335	Delaware	12348	512	52.9	1095	113.2	1276.7	123941	12814.8	0.1	3/13/2020	11	3/24/2020	1	69	6/1/2020	3/24/2020	11	1	45	5/8/2020	5/1/2020	49	1	400	388.58	967171	12.5	41.3	9433	0.009753187	0.22	0.08	0.12	0.25	0.14	0.19
Democrat	0.9048	District of Columbia	10482	559	79.6	266	37.9	1492.2	105993	15088.9	0.1	3/11/2020	21	4/1/2020	1	58	5/29/2020	3/25/2020	14	1	65	5/29/2020	4/15/2020	35	1	444	11496.81	702455	16.2	31.8	5008	0.007129282	0.2	0.1	0.21	0.27	0.1	0.12
Republican	0.4902	Florida	197076	3731	17.5	66984	314.5	925.3	2200199	10329.9	0.09	3/9/2020	25	4/3/2020	1	45	5/18/2020	3/20/2020	11	0	59	5/18/2020	5/11/2020	63	1	275	323.9	21299325	13.6	42.1	205426	0.009644719	0.21	0.08	0.12	0.25	0.14	0.21
Republican	0.5077	Georgia	95516	2860	27.2	20531	195.2	908	949185	9023.1	0.1	3/14/2020	20	4/3/2020	1	28	5/1/2020	4/3/2020	20	0	28	5/1/2020	4/27/2020	44	1	365	177.02	10519475	14.3	36.2	85202	0.008099454	0.26	0.09	0.12	0.27	0.12	0.14
Democrat	0.6098	Hawaii	939	19	1.3	137	9.6	66.1	84325	5936.3	0.01	3/4/2020	21	3/25/2020	1	128	7/31/2020	3/25/2020	21	1	43	5/7/2020	4/16/2020	43	1	648	129.94	1420491	8.8	39.1	11415	0.008035954	0.23	0.07	0.12	0.25	0.13	0.19
Republican	0.5926	Idaho	7733	93	5.3	2414	137.6	440.8	104266	5943.8	0.07	3/13/2020	12	3/25/2020	1	37	5/1/2020	3/25/2020	12	1	37	5/1/2020	0	0	0	448	20.99	1754208	11.8	36.2	14261	0.008129595	0.27	0.09	0.12	0.24	0.12	0.16
Democrat	0.5583	Illinois	148373	7230	56.7	6243	49	1164.5	1762828	13835.8	0.08	3/9/2020	12	3/21/2020	1	69	5/29/2020	3/21/2020	12	1	69	5/29/2020	5/1/2020	53	1	484	220	12741080	12.1	36.2	110022	0.008635218	0.24	0.09	0.12	0.26	0.13	0.15
Republican	0.5694	Indiana	48008	2693	40.2	3433	51.3	717.4	521722	7796.3	0.09	3/6/2020	19	3/25/2020	1	54	5/18/2020	3/25/2020	19	1	54	5/18/2020	5/1/2020	56	1	390	183.74	6691878	13.1	39.9	65693	0.009816826	0.25	0.09	0.12	0.25	0.13	0.16
Republican	0.5116	Iowa	31353	721	22.8	3341	105.9	993.4	332472	10534.1	0.09	3/9/2020	0	0	0	0	0	3/26/2020	17	1	50	5/15/2020	0	0	0	481	56.09	3156145	11.2	36.9	30367	0.009621548	0.25	0.09	0.12	0.24	0.13	0.17
Republican	0.5665	Kansas	15919	277	9.5	2381	81.8	546.8	191561	6579.4	0.08	3/12/2020	18	3/30/2020	1	35	5/4/2020	3/30/2020	18	1	35	5/4/2020	0	0	0	488	35.39	2911505	12	38	27537	0.009457995	0.26	0.09	0.12	0.24	0.13	0.16
Republican	0.6252	Kentucky	16376	585	13.1	1209	27.1	366.5	395647	8854.3	0.04	3/6/2020	16	3/22/2020	1	107	0	3/26/2020	20	1	46	5/11/2020	5/11/2020	66	1	552	110.58	4468402	16.9	43.6	48707	0.010900317	0.24	0.09	0.12	0.26	0.14	0.16
Republican	0.5809	Louisiana	65226	3288	70.6	10457	224.4	1399.7	802454	17220.1	0.08	3/11/2020	12	3/23/2020	1	53	5/15/2020	3/23/2020	12	1	39	5/1/2020	5/1/2020	51	1	247	88.97	4659978	18.6	42.1	46048	0.009881592	0.25	0.09	0.12	0.25	0.13	0.15
Democrat	0.4635	Maine	3423	109	8.1	232	17.3	255.8	107932	8064.2	0.03	3/15/2020	17	4/1/2020	1	60	5/31/2020	3/25/2020	10	1	37	5/1/2020	5/1/2020	47	1	445	37.83	1338404	11.6	42.5	14715	0.010994438	0.19	0.07	0.11	0.26	0.16	0.21
Democrat	0.6033	Maryland	69904	3246	53.7	3127	51.7	1156.8	579962	9597.7	0.12	3/5/2020	25	3/30/2020	1	46	5/15/2020	3/23/2020	18	1	53	5/15/2020	4/18/2020	44	1	430	487.08	6042718	9	37.1	50568	0.00836842	0.23	0.08	0.12	0.27	0.14	0.15
Democrat	0.5905	Massachusetts	109974	8183	118.6	1531	22.2	1593.3	891685	12918.9	0.12	3/10/2020	14	3/24/2020	1	55	5/18/2020	3/24/2020	14	1	55	5/18/2020	5/6/2020	57	1	823	653.98	6902149	10	34.6	59152	0.008570084	0.21	0.09	0.13	0.26	0.14	0.17
Republican	0.475	Michigan	72941	6218	62.3	3262	32.6	730.4	1146819	11472.9	0.06	3/10/2020	14	3/24/2020	1	69	6/1/2020	3/24/2020	14	1	63	5/26/2020	4/26/2020	47	1	362	103.36	9995915	14.1	41.2	98903	0.009894342	0.23	0.09	0.12	0.25	0.14	0.17
